input_CAS
100-00-5
100-01-6
100-02-7
100-06-1
100-07-2
100-09-4
100-10-7
100-12-9
100-15-2
100-16-3
100-17-4
100-18-5
100-19-6
100-20-9
100-21-0
100-22-1
100-23-2
100-25-4
100-27-6
100-29-8
100-34-5
100-35-6
100-36-7
100-37-8
100-39-0
100-40-3
100-41-4
100-42-5
100-44-7
100-46-9
100-47-0
100-48-1
100-49-2
100-50-5
100-51-6
100-52-7
100-53-8
100-54-9
100-55-0
100-56-1
100-57-2
100-60-7
100-61-8
100-63-0
100-64-1
100-65-2
100-66-3
100-68-5
100-69-6
100-70-9
100-71-0
100-72-1
100-73-2
100-74-3
100-75-4
100-76-5
100-80-1
100-81-2
100-82-3
100-83-4
100-84-5
100-86-7
100-97-0
100-99-2
1000-30-2
1000-36-8
1000-40-4
1000-49-3
1000-50-6
1000-63-1
1000-70-0
1000-86-8
1000-87-9
10004-44-1
10008-90-9
10009-70-8
1001-26-9
1001-52-1
1001-55-4
1001-89-4
100134-47-2
100199-27-7
100199-35-7
100199-38-0
1002-16-0
1002-17-1
1002-43-3
1002-53-5
1002-57-9
1002-68-2
1002-69-3
1002-84-2
10020-43-6
10020-96-9
10022-50-1
10024-74-5
10024-78-9
10024-93-8
10024-97-2
10025-67-9
10025-71-5
10025-78-2
10025-85-1
10025-87-3
10025-91-9
10026-01-4
10026-02-5
10026-03-6
10026-04-7
10026-07-0
10026-08-1
10026-10-5
10026-11-6
10026-12-7
10026-13-8
10028-15-6
10028-17-8
10028-18-9
100295-82-7
100295-83-8
100295-85-0
100296-26-2
1003-03-8
1003-04-9
1003-09-4
1003-10-7
1003-14-1
1003-17-4
1003-19-6
1003-29-8
1003-30-1
1003-31-2
1003-38-9
1003-56-1
1003-64-1
1003-78-7
1003-90-3
1003-98-1
10031-22-8
10031-24-0
10031-82-0
10031-87-5
100319-48-0
10032-13-0
10032-15-2
10034-85-2
10035-10-6
10036-47-2
10038-98-9
1004-35-9
1004-36-0
1004-40-6
1004-66-6
1004-77-9
100400-78-0
10042-29-2
10042-59-8
10042-76-9
10043-35-3
10043-52-4
10043-92-2
10049-04-4
10049-05-5
10049-06-6
10049-07-7
10049-14-6
10049-17-9
1005-64-7
1005-67-0
1005-93-2
10051-06-6
10051-63-5
100515-03-5
10057-27-9
10058-20-5
1006-06-0
1006-31-1
1006-59-3
1006-64-0
1006-94-6
10061-01-5
10061-02-6
10061-64-0
100640-32-2
100646-51-3
100651-98-7
100668-10-8
100668-11-9
100668-21-1
1007-26-7
1007-28-9
1007-32-5
1007-36-9
1007-67-6
100700-21-8
100700-28-5
10071-60-0
10075-38-4
10075-50-0
100754-93-6
10076-31-0
10078-46-3
100791-95-5
1008-76-0
1008-88-4
1008-89-5
100836-62-2
100836-63-3
100836-84-8
100853-65-4
100853-66-5
100853-67-6
100853-68-7
100853-69-8
100853-70-1
100853-71-2
100853-72-3
100853-73-4
100853-74-5
100853-75-6
100853-76-7
100853-77-8
100853-78-9
100853-79-0
100853-80-3
100853-81-4
100853-82-5
100853-83-6
10086-50-7
10086-64-3
100866-99-7
1009-14-9
1009-17-2
1009-61-6
1009-67-2
1009-93-4
10099-59-9
10099-72-6
101-02-0
101-05-3
101-14-4
101-17-7
101-18-8
101-21-3
101-39-3
101-40-6
101-41-7
101-42-8
101-43-9
101-48-4
101-50-8
101-53-1
101-54-2
101-55-3
101-59-7
101-68-8
101-72-4
101-77-9
101-79-1
101-80-4
101-81-5
101-82-6
101-83-7
101-84-8
101-93-9
101-96-2
101-97-3
101-99-5
1010-60-2
10101-63-0
10102-03-1
10102-06-4
10102-43-9
10102-44-0
101048-47-9
101048-56-0
101054-93-7
101063-92-7
101063-93-8
101063-94-9
101063-95-0
101063-96-1
