CASRN,name,IUPAC_name,molecular_formula,SMILES,canonical_smiles,InChI,InChIKey,DTXSID,molecular_mass,Synonyms,foundby,source
100-21-0,terephthalic acid,terephthalic acid,C8H6O4,O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C(=O)O)cc1,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",KKEYFWRCBNTPAC-UHFFFAOYSA-N,,166.13,"terephthalic acid;TPA;Terephthalic acid;1,4-Benzenedicarboxylic acid;p-benzenedicarboxylic acid;para-benzenedicarboxylic acid",CASRN,ChEBI
100-22-1,"N1,N1,N4,N4-tetramethyl-1,4-Benzenediamine","N1,N1,N4,N4-tetramethyl-1,4-Benzenediamine",C10H16N2,CN(C)C1=CC=C(C=C1)N(C)C,CN(C)c1ccc(N(C)C)cc1,,CJAOGUFAAWZWNI-UHFFFAOYSA-N,DTXSID201370133,164.252,"100-22-1; N1,N1,N4,N4-tetramethyl-1,4-Benzenediamine",CASRN,CompTox
100-23-2,"N,N-Dimethyl-4-nitroaniline","N,N-Dimethyl-4-nitroaniline",C8H10N2O2,CN(C)C1=CC=C(C=C1)[N+]([O-])=O,CN(C)c1ccc([N+](=O)[O-])cc1,,QJAIOCKFIORVFU-UHFFFAOYSA-N,DTXSID4059209,166.18,"100-23-2; 508191-95-5; N,N-Dimethyl-4-nitroaniline; Benzenamine, N,N-dimethyl-4-nitro-; Aniline, N,N-dimethyl-p-nitro-; Benzenamine, N,N-dimethyl-4-nitro-; N,N-Dimethyl-4-nitroaniline; Benzenamine, N,N-dimethyl-4-nitro-; p-(Dimethylamino)nitrobenzene; 1-(Dimethylamino)-4-nitrobenzene; 4-(Dimethylamino)nitrobenzene; N,N-Dimethyl-p-nitroaniline; EINECS 202-832-1; p-Nitrodimethylaniline; p-Nitro-N,N-dimethylaniline; 4-Nitrodimethylaniline; 4-Nitro-N,N-dimethylaniline; NSC 9815; N,N-Dimethyl-4-nitrobenzenamine; P-NITRO-N,N-DIMETHYLANILINE; Benzenamine, N,N-dimethyl-4-nitro-; 4-Nitro-N,N-dimethylaniline; QJAIOCKFIORVFU-UHFFFAOYSA-N",CASRN,CompTox
100-25-4,"1,4-dinitrobenzene","1,4-dinitrobenzene",C6H4N2O4,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,FYFDQJRXFWGIBS-UHFFFAOYSA-N,,168.11,p-Dinitrobenzene,CASRN,ChEBI
100-27-6,2-(4-Nitrophenyl)ethanol,2-(4-Nitrophenyl)ethan-1-ol,C8H9NO3,OCCC1=CC=C(C=C1)[N+]([O-])=O,O=[N+]([O-])c1ccc(CCO)cc1,,IKMXRUOZUUKSON-UHFFFAOYSA-N,DTXSID7025764,167.164,"100-27-6; 2-(4-Nitrophenyl)ethanol; p-Nitrophenethyl alcohol; 2-(4-Nitrophenyl)ethan-1-ol; Benzeneethanol, 4-nitro-; 4-06-00-03083; BRN 1866148; EINECS 202-835-8; 2-(p-Nitrophenyl)ethanol; NSC 55519; p-Nitrophenethyl alcohol; 2-(4-Nitrophenyl)ethanol; Benzeneethanol, 4-nitro-; 2-(P-NITROPHENYL)ETHANOL; IKMXRUOZUUKSON-UHFFFAOYSA-N; Tox21_200285; NCGC00257839-01",CASRN,CompTox
100-29-8,1-Ethoxy-4-nitrobenzene,1-Ethoxy-4-nitrobenzene,C8H9NO3,CCOC1=CC=C(C=C1)[N+]([O-])=O,CCOc1ccc([N+](=O)[O-])cc1,,NWPKEYHUZKMWKJ-UHFFFAOYSA-N,DTXSID7026655,167.164,"100-29-8; 1-Ethoxy-4-nitrobenzene; 4-Nitrophenetole; 1-Ethoxy-4-nitrobenzene; Benzene, 1-ethoxy-4-nitro-; 4-06-00-01283; BRN 0972473; EINECS 202-837-9; p-Ethoxynitrobenzene; 4-Ethoxynitrobenzene; Ethyl p-nitrophenyl ether; NSC 9812; Phenetole, p-nitro-; p-Nitrophenetol; Benzene, 1-ethoxy-4-nitro-; 1-Ethoxy-4-nitrobenzene; P-NITROPHENETOLE; 4-Nitrophenetole; NWPKEYHUZKMWKJ-UHFFFAOYSA-N; Tox21_200729; NCGC00258283-01",CASRN,CompTox
100-34-5,Benzenediazonium chloride,Benzenediazonium chloride,C6H5ClN2,[Cl-].N#[N+]C1=CC=CC=C1,N#[N+]c1ccccc1.[Cl-],,CLRSZXHOSMKUIB-UHFFFAOYSA-M,DTXSID30142846,140.57,"100-34-5; 3099-82-9; 155124-58-6; 942273-78-1; 1081781-31-8; 1148018-40-9; 1259289-54-7; 1489238-93-8; 1632157-41-5; 1713241-65-6; 1773542-02-1; 1848983-46-9; 1867184-86-8; 1943681-22-8; 1995834-25-7; 2127842-24-2; 2161347-44-8; 2222612-31-7; 2231764-37-5; 2308512-55-0; 2460280-79-7; 2764584-43-0; Benzenediazonium chloride; Benzenediazonium, chloride; Benzenediazonium, chloride (1:1); Benzoldiazoniumchlorid; chlorure de benzenediazonium; cloruro de bencenodiazonio; Phenyldiazonium chloride; Benzenediazonium chloride; Benzenediazonium, chloride (1:1); EINECS 202-842-6; Benzenediazonium chloride",CASRN,CompTox
100-35-6,"Ethanamine, 2-chloro-N,N-diethyl-","2-Chloro-N,N-diethylethan-1-amine",C6H14ClN,CCN(CC)CCCl,CCN(CC)CCCl,"InChI=1S/C6H14ClN/c1-3-8(4-2)6-5-7/h3-6H2,1-2H3",YMDNODNLFSHHCV-UHFFFAOYSA-N,DTXSID8043868,135.64,"100-35-6; Ethanamine, 2-chloro-N,N-diethyl-; (2-Chloroethyl)diethylamine; (β-Chloroethyl)diethylamine; 1-Chloro-2-(diethylamino)ethane; 1-Chloro-2-(N,N-diethylamino) ethane; 1-Chloro-2-(N,N-diethylamino)ethane; 1-Diethylamino-2-chloroethane; 2-(Diethylamino)-1-chloroethane; 2-(Diethylamino)chloroethane; 2-(Diethylamino)ethyl chloride; 2-(N,N-Diethylamino)ethyl chloride; 2-Chlorethyldiethylamin; 2-chloroethyldiethylamine; 2-Chloroethyl-N,N-diethylamine; 2-Chlorotriethylamine; 2-cloroetildietilamina; Diethyl(2-chloroethyl)amine; Diethylaminoethyl chloride; N-(2-Chloroethyl)diethylamine; N,N-Diethyl-2-chloroethylamine; N,N-Diethylaminoethyl chloride; NSC 123446; Triethylamine, 2-chloro-; β-(Diethylamino)ethyl chloride; β-Chlorotriethylamine; 2-Chloro-N,N-diethylethan-1-amine; Ethanamine, 2-chloro-N,N-diethyl-; BRN 0605300; beta-Chlorotriethylamine; N-Diethylaminoethyl chloride; EINECS 202-843-1; UNII-BKE4K6N7IF; ETHANAMINE, 2-CHLORO-N,N-DIETHYL-; N,N-Diethyl-2-chloroethylamine; Triethylamine, 2-chloro-; N-(2-Chloroethyl)diethylamine; (2-Chloroethyl)diethylamine; .beta.-Chlorotriethylamine; 2-Chlorotriethylamine; 2-(Diethylamino)chloroethane; Diethylaminoethyl chloride; .beta.-(Diethylamino)ethyl chloride; N-Diethylaminoethyl chloride; 2-(Diethylamino)ethyl chloride; Diethyl(2-chloroethyl)amine; 2-Diethylaminoethyl chloride; 2-Chloro-N,N-diethylethanamine; 1-Chloro-2-(diethylamino)ethane; 1-Diethylamino-2-chloroethane; YMDNODNLFSHHCV-UHFFFAOYSA-N",CASRN,CompTox
100-36-7,2-Aminoethyldiethylamine,"N~1~,N~1~-Diethylethane-1,2-diamine",C6H16N2,CCN(CC)CCN,CCN(CC)CCN,"InChI=1S/C6H16N2/c1-3-8(4-2)6-5-7/h3-7H2,1-2H3",UDGSVBYJWHOHNN-UHFFFAOYSA-N,DTXSID7057606,116.208,"100-36-7; 2-Aminoethyldiethylamine; 1,2-Ethanediamine, N,N-diethyl-; 1,2-Ethanediamine, N1,N1-diethyl-; 1-Amino-2-(diethylamino)ethane; 1-Amino-2-(N,N-diethylamino)ethane; 2-(Diethylamino)ethanamine; 2-(Diethylamino)ethylamine; 2-Aminoethyldiethylamin; 2-aminoetildietilamina; Diethylaminoethylamine; ETHYLENEDIAMINE, DIETHYL-; Ethylenediamine, N,N-diethyl-; N-(2-Aminoethyl)-N,N-diethylamine; N-(2-Diethylaminoethyl)amine; N,N-DIAETHYLAETHYLENDIAMIN; N,N-Diethyl-1,2-diaminoethane; N,N-Diethyl-1,2-ethanediamine; N,N-Diethyl-1,2-ethylenediamine; N,N-Diethylethylenediamine; NSC 19675; β-(Diethylamino)ethylamine; N~1~,N~1~-Diethylethane-1,2-diamine; 1,2-Ethanediamine, N~1~,N~1~-diethyl-; BRN 0605299; beta-Diethylaminoethylamine; N,N-(Diethylamino)ethylamine; 2-(N,N-Diethylamino)ethylamine; (Diethylamino)ethylamino; N,N-Diethylethanediamine; N,N-(Diethylethyl)diamine; N,N-(Diethylethylene)diamine; EINECS 202-844-7; UNII-859V6OK12Y; 2-Aminoethyldiethylamine; 1,2-ETHANEDIAMINE, N,N-DIETHYL-; N,N-Diethylethylenediamine; 1,2-Ethanediamine, N1,N1-diethyl-; 1-Amino-2-(N,N-diethylamino)ethane; Ethylenediamine, N,N-diethyl-; ethylenediamine_ n_n-diethyl-_ (n.n-diethylethylenediamine); (Diethylamino)ethylamino; N-(2-Aminoethyl)-N,N-diethylamine; N-[2-(Diethylamino)ethyl]amine; N,N-(Diethylamino)ethylamine; N,N-Diethyl-1,2-diaminoethane; N,N-Diethyl-1,2-ethanediamine; N,N-Diethylethanediamine; 1-Amino-2-(diethylamino)ethane; 2-(Diethylamino)ethylamine; 2-(N,N-Diethylamino)ethylamine; 2-Aminotriethylamine; Diethylaminoethylamine; UDGSVBYJWHOHNN-UHFFFAOYSA-N; Tox21_113860; NCGC00253744-01",CASRN,CompTox
100-37-8,2-diethylaminoethanol,2-diethylaminoethanol,C6H15NO,CCN(CC)CCO,CCN(CC)CCO,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",BFSVOASYOCHEOV-UHFFFAOYSA-N,,117.19,"N,N-diethyl-N-(beta-hydroxyethyl)amine;diethylmonoethanolamine;DEAE;beta-(diethylamino)ethyl alcohol;N,N-Diethylethanolamine;diethylethanolamine;N,N-Diethyl-2-aminoethanol;Diethylaminoethanol;beta-hydroxytriethylamine;Diethyl(2-hydroxyethyl)amine",CASRN,ChEBI
100-39-0,benzyl bromide,benzyl bromide,C7H7Br,BrCc1ccccc1,BrCc1ccccc1,"InChI=1S/C7H7Br/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",AGEZXYOZHKGVCM-UHFFFAOYSA-N,,171.04,Bromophenylmethane;alpha-bromotoluene;Phenylmethyl bromide,CASRN,ChEBI
